uvrstitev,id,naslov,avtor,povp_ocena,st_ocen,ocena,st_glasov,zbirka,zap_st_knjige_v_zbirki
1,136251,Harry Potter and the Deathly Hallows,J.K. Rowling,4.61,3105897,403410,4078,Harry Potter,7
2,2767052,The Hunger Games,Suzanne Collins,4.32,7026470,300983,3072,The Hunger Games,1
3,77203,The Kite Runner,Khaled Hosseini,4.31,2654813,265775,2699,,
4,19063,The Book Thief,Markus Zusak,4.38,2062063,259185,2640,,
5,1,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,2709360,225993,2327,Harry Potter,6
6,2,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.50,2795062,205245,2132,Harry Potter,5
7,4667024,The Help,Kathryn Stockett,4.46,2357013,168410,1742,,
8,128029,A Thousand Splendid Suns,Khaled Hosseini,4.39,1270499,165450,1694,,
9,4214,Life of Pi,Yann Martel,3.92,1439770,152204,1562,,
10,6148028,Catching Fire,Suzanne Collins,4.30,2826143,150101,1575,The Hunger Games,2
11,2429135,The Girl with the Dragon Tattoo,Stieg Larsson,4.15,2828449,145551,1513,Millennium,1
12,18619684,The Time Traveler's Wife,Audrey Niffenegger,3.98,1659609,141520,1453,,
13,11870085,The Fault in Our Stars,John Green,4.18,4042054,131850,1374,,
14,968,The Da Vinci Code,Dan Brown,3.88,2088985,126280,1315,Robert Langdon,2
15,6288,The Road,Cormac McCarthy,3.97,780953,122302,1254,,
16,1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1303040,112959,1178,,
17,43641,Water for Elephants,Sara Gruen,4.09,1468658,112537,1172,,
18,7260188,Mockingjay,Suzanne Collins,4.05,2611661,104816,1123,The Hunger Games,3
19,2187,Middlesex,Jeffrey Eugenides,4.01,607684,87035,899,,
20,12232938,The Lovely Bones,Alice Sebold,3.83,2144370,86207,907,,
21,41865,Twilight,Stephenie Meyer,3.62,5466724,84365,885,The Twilight Saga,1
22,13335037,Divergent,Veronica Roth,4.17,3259881,84177,901,Divergent,1
23,28187,The Lightning Thief,Rick Riordan,4.27,2287266,82741,881,Percy Jackson and the Olympians,1
24,6867,Atonement,Ian McEwan,3.91,472423,82102,860,,
25,1232,The Shadow of the Wind,Carlos Ruiz Zafón,4.27,531216,76802,802,The Cemetery of Forgotten Books,1
26,30165203,American Gods,Neil Gaiman,4.10,825185,75596,785,American Gods,1
27,256683,City of Bones,Cassandra Clare,4.09,1772484,75280,798,The Mortal Instruments,1
28,37435,The Secret Life of Bees,Sue Monk Kidd,4.07,1180853,72698,768,,
29,4588,Extremely Loud &amp; Incredibly Close,Jonathan Safran Foer,3.96,404681,72066,745,,
30,7445,The Glass Castle,Jeannette Walls,4.28,999758,71562,754,,
31,960,Angels &amp; Demons,Dan Brown,3.92,2875187,68003,724,Robert Langdon,1
32,10917,My Sister's Keeper,Jodi Picoult,4.08,1112819,67970,719,,
33,6334,Never Let Me Go,Kazuo Ishiguro,3.83,546683,64700,681,,
34,5060378,The Girl Who Played with Fire,Stieg Larsson,4.24,861287,62542,676,Millennium,2
35,49628,Cloud Atlas,David Mitchell,4.00,236040,55161,574,,
36,39832183,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.17,669781,51577,549,,
37,1162543,Breaking Dawn,Stephenie Meyer,3.71,1455209,51342,555,The Twilight Saga,4
38,1656001,The Host,Stephenie Meyer,3.85,952663,51253,550,The Host,1
39,428263,Eclipse,Stephenie Meyer,3.71,1564986,49778,541,The Twilight Saga,3
40,6892870,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,4.22,690054,49473,544,Millennium,3
41,19501,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,3.59,1583829,46250,493,,
42,49041,New Moon,Stephenie Meyer,3.56,1621773,45853,503,The Twilight Saga,2
43,186074,The Name of the Wind,Patrick Rothfuss,4.51,801667,44766,463,The Kingkiller Chronicle,1
44,4929,Kafka on the Shore,Haruki Murakami,4.13,358896,43851,459,,
45,3777732,City of Glass,Cassandra Clare,4.29,873019,41881,455,The Mortal Instruments,3
46,2213661,The Graveyard Book,Neil Gaiman,4.13,483572,41256,442,,
47,31685789,Room,Emma Donoghue,4.06,767322,40603,439,,
48,19288043,Gone Girl,Gillian Flynn,4.09,2573355,37823,415,,
49,1582996,City of Ashes,Cassandra Clare,4.13,832736,37578,416,The Mortal Instruments,2
50,1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.99,772026,36993,387,,
51,3805,The Corrections,Jonathan Franzen,3.80,168047,35964,380,,
52,9361589,The Night Circus,Erin Morgenstern,4.03,786265,35757,384,,
53,297673,The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.89,244932,35636,373,,
54,21996,The Devil in the White City,Erik Larson,3.98,587981,34244,368,,
55,40440,The Thirteenth Tale,Diane Setterfield,3.96,296233,33023,352,,
56,12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.12,462448,33016,358,,
57,18660669,Vampire Academy,Richelle Mead,4.11,601708,32695,354,Vampire Academy,1
58,5826,Bel Canto,Ann Patchett,3.92,257158,32562,348,,
59,3153910,The Art of Racing in the Rain,Garth Stein,4.21,475076,32343,350,,
60,37470,The Other Boleyn Girl,Philippa Gregory,4.07,475759,32218,353,The Plantagenet and Tudor Novels,9
61,12497,No Country for Old Men,Cormac McCarthy,4.09,176931,32046,342,,
62,10692,The Historian,Elizabeth Kostova,3.79,258996,32019,342,,
63,991197,"The Complete Persepolis (Persepolis, #1-4)",Marjane Satrapi,4.33,151792,31858,339,,
64,21,A Short History of Nearly Everything,Bill Bryson,4.18,340192,31584,337,,
65,33917,The Namesake,Jhumpa Lahiri,3.99,248806,31128,333,,
66,256566,Everything Is Illuminated,Jonathan Safran Foer,3.88,173949,31043,328,,
67,46756,Oryx and Crake,Margaret Atwood,4.00,241504,30884,328,MaddAddam,1
68,1103,Snow Flower and the Secret Fan,Lisa See,4.07,356401,30574,334,,
69,14201,Jonathan Strange &amp; Mr Norrell,Susanna Clarke,3.83,221417,28245,298,,
70,18143977,All the Light We Cannot See,Anthony Doerr,4.32,1203234,28111,305,,
71,10441,The Memory Keeper's Daughter,Kim Edwards,3.68,580571,26825,296,,
72,14743,The God Delusion,Richard Dawkins,3.89,253555,24817,262,,
73,8664353,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.35,845667,24766,266,,
74,28881,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,4.20,166341,24709,258,,
75,40874325,The Shack,William Paul Young,3.78,581079,24478,263,,
76,49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.65,343053,23775,259,,
77,556602,Sarah's Key,Tatiana de Rosnay,4.16,447530,23639,263,,
78,14866,Nineteen Minutes,Jodi Picoult,4.12,320736,22346,248,,
79,3109,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.15,198431,21006,223,,
80,4952,What Is the What,Dave Eggers,4.08,87393,20820,221,,
81,39999,The Boy in the Striped Pajamas,John Boyne,4.15,617731,20790,231,,
82,3867,The History of Love,Nicole Krauss,3.91,129967,20548,222,,
83,40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.94,534787,20545,220,,
84,1768603,The White Tiger,Aravind Adiga,3.75,176703,20277,222,,
85,99561,Looking for Alaska,John Green,4.00,1267276,19313,213,,
86,25036229,Una Historia de Ayer,Sergio Cobo,4.45,23073,19098,191,,
87,68210,Gilead,Marilynne Robinson,3.83,98056,18786,203,,
88,10644930,11/22/63,Stephen King,4.29,471104,18722,206,,
89,2731276,The Story of Edgar Sawtelle,David Wroblewski,3.62,99795,18222,199,,
90,187020,Empire Falls,Richard Russo,3.91,120389,18094,197,,
91,10176,Dress Your Family in Corduroy and Denim,David Sedaris,4.07,268334,17978,193,,
92,9969571,Ready Player One,Ernest Cline,4.24,983565,17920,197,Ready Player One,1
93,2203,John Adams,David McCullough,4.04,343838,17915,195,,
94,7815,The Year of Magical Thinking,Joan Didion,3.88,170000,17693,195,,
95,1241,A Million Little Pieces,James Frey,3.66,240075,17119,186,,
96,8600,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,3.85,107415,17004,186,,
97,43369,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.93,101659,16662,178,,
98,11735983,Insurgent,Veronica Roth,4.00,1291209,16550,193,Divergent,2
99,2744,Anansi Boys,Neil Gaiman,4.01,211317,16408,178,American Gods,2
100,1379961,People of the Book,Geraldine Brooks,4.00,137531,15685,172,,
101,3591262,Cutting for Stone,Abraham   Verghese,4.29,353409,15658,170,,
102,7171637,Clockwork Angel,Cassandra Clare,4.30,753372,14914,167,The Infernal Devices,1
103,17333223,The Goldfinch,Donna Tartt,3.92,795179,14536,159,,
104,85301,Unaccustomed Earth,Jhumpa Lahiri,4.07,92271,13972,153,,
105,18007564,The Martian,Andy Weir,4.40,920204,13845,156,,
106,6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.07,646366,13791,156,,
107,80660,We Need to Talk About Kevin,Lionel Shriver,4.04,187709,12919,141,,
108,10847,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,3.98,173935,12786,141,,
109,25460,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,4.01,110257,12715,137,,
110,113436,Eragon,Christopher Paolini,3.92,1554490,12606,144,The Inheritance Cycle,1
111,17061,Coraline,Neil Gaiman,4.06,554688,12001,135,,
112,10664113,A Dance with Dragons,George R.R. Martin,4.31,594307,11958,134,A Song of Ice and Fire,5
113,3431,The Five People You Meet in Heaven,Mitch Albom,3.95,623270,11854,131,,
114,5064,World Without End,Ken Follett,4.26,223507,11817,130,Kingsbridge,2
115,3679,On Beauty,Zadie Smith,3.73,79189,11615,127,,
116,56305116,The Outlands ,Tyler Edwards,4.17,691,11500,115,The Outlands Saga,1
117,67,The Known World,Edward P. Jones,3.79,42396,11351,125,,
118,3236307,Graceling,Kristin Cashore,4.06,427461,11240,127,Graceling Realm,1
119,4556058,The Last Olympian,Rick Riordan,4.50,774506,11222,132,Percy Jackson and the Olympians,5
120,4965,Year of Wonders,Geraldine Brooks,3.99,153454,11204,125,,
121,6186357,The Maze Runner,James Dashner,4.03,1216032,11051,127,The Maze Runner,1
122,13497,A Feast for Crows,George R.R. Martin,4.14,667443,10910,123,A Song of Ice and Fire,4
123,7905092,Freedom,Jonathan Franzen,3.76,159718,10574,117,,
124,28186,The Sea of Monsters,Rick Riordan,4.24,872558,10325,123,Percy Jackson and the Olympians,2
125,7822895,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,4.41,54157,10281,111,,
126,29844228,Thirteen Reasons Why,Jay Asher,3.89,849702,9982,113,,
127,2967752,The Elegance of the Hedgehog,Muriel Barbery,3.78,164474,9810,109,,
128,8908,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,478029,9712,111,,
129,33600,Shantaram,Gregory David Roberts,4.23,190377,9700,103,,
130,110737,Seabiscuit: An American Legend,Laura Hillenbrand,4.18,160821,9633,108,,
131,561456,The Titan's Curse,Rick Riordan,4.34,799477,9503,116,Percy Jackson and the Olympians,3
132,2802316,Shadow Kiss,Richelle Mead,4.32,352754,9456,108,Vampire Academy,3
133,2282133,Frostbite,Richelle Mead,4.24,339108,9188,106,Vampire Academy,2
134,63032,2666,Roberto Bolaño,4.13,38159,9176,99,,
135,2120932,The Battle of the Labyrinth,Rick Riordan,4.39,847717,9141,111,Percy Jackson and the Olympians,4
136,2318271,The Last Lecture,Randy Pausch,4.23,327632,9034,100,,
137,6411961,The Lost Symbol,Dan Brown,3.73,565196,8973,105,Robert Langdon,3
138,1736739,Olive Kitteridge,Elizabeth Strout,3.83,199907,8961,101,Olive Kitteridge,1
139,9460487,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,3.91,1092185,8773,105,Miss Peregrine's Peculiar Children,1
140,17347634,Me Before You,Jojo Moyes,4.25,1308344,8670,101,Me Before You,1
141,7603,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.62,133078,8569,98,,
142,703,The Plot Against America,Philip Roth,3.76,60076,8507,97,,
143,3950967,The Tales of Beedle the Bard,J.K. Rowling,4.04,449773,8412,101,,
144,15783514,The Ocean at the End of the Lane,Neil Gaiman,4.00,529782,8371,94,,
145,6101138,Wolf Hall,Hilary Mantel,3.87,190391,8325,96,Thomas Cromwell,1
146,28194,Inkheart,Cornelia Funke,3.89,404393,8288,98,Inkworld,1
147,24770,Uglies,Scott Westerfeld,3.85,606163,8270,96,Uglies,1
148,7331435,A Visit from the Goon Squad,Jennifer Egan,3.67,188289,8047,90,,
149,6339664,"Hush, Hush",Becca Fitzpatrick,3.94,638884,8027,92,"Hush, Hush",1
150,6752378,City of Fallen Angels,Cassandra Clare,4.09,540244,7953,99,The Mortal Instruments,4
151,227571,Peace Like a River,Leif Enger,3.96,89109,7939,88,,
152,5996153,Blood Promise,Richelle Mead,4.29,302541,7860,92,Vampire Academy,4
153,301082,Dead Until Dark,Charlaine Harris,3.96,522820,7800,91,Sookie Stackhouse,1
154,1869,Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,3.64,188146,7666,88,,
155,5941033,Let the Great World Spin,Colum McCann,3.92,104626,7517,82,,
156,10357575,1Q84 (1Q84 #1-3),Haruki Murakami,3.92,231047,7472,84,,
157,242006,Running with Scissors,Augusten Burroughs,3.73,375241,7423,86,,
158,16703,The Yiddish Policemen's Union,Michael Chabon,3.71,80823,7147,80,,
159,9673436,The Invention of Hugo Cabret,Brian Selznick,4.19,178471,7131,83,,
160,7736182,The Lost Hero,Rick Riordan,4.31,708521,7082,88,The Heroes of Olympus,1
161,6690798,The Passage,Justin Cronin,4.02,205310,6984,76,The Passage,1
162,21671,Mystic River,Dennis Lehane,4.12,147474,6973,82,,
163,3367956,Hotel on the Corner of Bitter and Sweet,Jamie Ford,4.01,280166,6958,79,,
164,18300212,The Trigger: Hunting the Assassin Who Brought the World to War,Tim Butcher,3.67,6641,6934,70,,
165,43944,Suite Française,Irène Némirovsky,3.81,74805,6749,76,,
166,6280118,One Day,David Nicholls,3.80,306143,6726,75,,
167,21686,Shutter Island,Dennis Lehane,4.07,188043,6696,77,,
168,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.30,128572,6682,77,,
169,27003,The Eyre Affair,Jasper Fforde,3.86,138228,6573,69,Thursday Next,1
170,1215032,The Wise Man's Fear,Patrick Rothfuss,4.53,475721,6487,72,The Kingkiller Chronicle,2
171,14316,Black Swan Green,David Mitchell,3.93,41964,6465,70,,
172,6479259,Spirit Bound,Richelle Mead,4.31,282042,6438,76,Vampire Academy,5
173,6948436,Little Bee,Chris Cleave,3.71,233693,6420,74,,
174,3407877,The Forgotten Garden,Kate Morton,4.12,208496,6398,73,,
175,22557272,The Girl on the Train,Paula Hawkins,3.94,2385300,6217,75,,
176,1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,206758,6182,69,,
177,45162,Fingersmith,Sarah Waters,3.98,98933,6178,69,,
178,11614718,Delirium,Lauren Oliver,3.96,447005,6167,74,Delirium,1
179,10818853,Fifty Shades of Grey,E.L. James,3.66,2159616,5991,73,Fifty Shades,1
179,68428,The Final Empire,Brandon Sanderson,4.44,477466,5991,65,Mistborn,1
181,10025305,Clockwork Prince,Cassandra Clare,4.41,499873,5911,74,The Infernal Devices,2
182,943402,Let the Right One In,John Ajvide Lindqvist,4.02,102411,5882,65,,
183,5015,Saturday,Ian McEwan,3.62,71283,5839,67,,
184,7735333,Matched,Ally Condie,3.65,711395,5813,72,Matched,1
185,6801755,Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,3.78,7427,5777,59,,
186,6080337,The Year of the Flood,Margaret Atwood,4.03,119676,5724,64,MaddAddam,2
187,2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.22,177928,5557,63,,
188,8667848,A Discovery of Witches,Deborah Harkness,4.00,427826,5556,65,All Souls Trilogy,1
189,14995,Odd Thomas,Dean Koontz,3.96,267754,5534,63,Odd Thomas,1
190,17159076,High in School,Salman Aditya,3.52,4854,5500,55,,
191,11387515,Wonder,R.J. Palacio,4.40,876977,5328,66,Wonder,1
192,32145,Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.04,192463,5294,59,,
193,11691,Snow,Orhan Pamuk,3.59,44916,5258,60,,
194,37190,The Tale of Despereaux,Kate DiCamillo,4.03,179013,5245,64,,
195,6527740,Last Sacrifice,Richelle Mead,4.36,276119,5164,61,Vampire Academy,6
196,9838,The Bookseller of Kabul,Åsne Seierstad,3.74,53892,5154,62,,
197,4374400,If I Stay,Gayle Forman,3.93,774694,5149,65,,
198,5526,Dear John,Nicholas Sparks,4.03,567891,5099,59,,
199,599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,3.71,74536,4990,54,,
200,18710190,Allegiant,Veronica Roth,3.62,914752,4962,63,Divergent,3
201,21853621,The Nightingale,Kristin Hannah,4.57,862464,4920,59,,
202,21878763,Possession of My Soul,Kia Carrington-Russell,3.50,5135,4885,49,The Three Immortal Blades,1
203,3682,A Great and Terrible Beauty,Libba Bray,3.78,228481,4879,57,Gemma Doyle,1
204,6442769,Paper Towns,John Green,3.76,1073231,4803,58,,
205,7896527,Throne of Glass,Sarah J. Maas,4.18,758173,4766,59,Throne of Glass,1
206,6320534,Under the Dome,Stephen King,3.90,279295,4760,55,,
207,45978,Eldest,Christopher Paolini,3.99,394174,4688,59,The Inheritance Cycle,2
208,40200,The Crimson Petal and the White,Michel Faber,3.84,44520,4670,53,,
209,3086160,The Hour I First Believed,Wally Lamb,3.80,62310,4591,55,,
210,18335634,Clockwork Princess,Cassandra Clare,4.54,394267,4564,56,The Infernal Devices,3
211,8755776,City of Lost Souls,Cassandra Clare,4.23,477452,4534,61,The Mortal Instruments,5
212,6433752,The Lacuna,Barbara Kingsolver,3.76,69770,4527,56,,
213,97782,Then We Came to the End,Joshua Ferris,3.46,36762,4520,49,,
214,15796700,Americanah,Chimamanda Ngozi Adichie,4.30,312464,4510,52,,
215,3273,Moloka'i,Alan Brennert,4.15,119844,4508,51,Moloka'i,1
216,775346,The Little Friend,Donna Tartt,3.47,58167,4473,51,,
217,6487308,Fallen,Lauren Kate,3.72,542550,4467,55,Fallen,1
218,53450218,The Past,Kenneth   Thomas,4.25,10723,4457,45,VanWest,1
219,36381037,Cinder,Marissa Meyer,4.13,781918,4403,56,The Lunar Chronicles,1
220,2800905,The Summoning,Kelley Armstrong,4.00,172429,4397,52,Darkest Powers,1
221,3110,Assassination Vacation,Sarah Vowell,3.88,50382,4394,48,,
222,10746542,The Sense of an Ending,Julian Barnes,3.73,164774,4360,52,,
223,6068551,Shiver,Maggie Stiefvater,3.76,465040,4273,57,The Wolves of Mercy Falls,1
224,452306,The Sisterhood of the Traveling Pants,Ann Brashares,3.81,659268,4247,56,Sisterhood,1
225,43015,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.12,181655,4203,49,,
226,366522,P.S. I Love You,Cecelia Ahern,4.02,358970,4155,53,P.S. I Love You,1
227,2595138,The Gargoyle,Andrew Davidson,3.92,49558,4076,45,,
228,11711,Vernon God Little,D.B.C. Pierre,3.58,33604,4068,46,,
229,228333,The Nanny Diaries,Emma McLaughlin,3.44,375292,4066,48,Nanny,1
230,976,Deception Point,Dan Brown,3.73,631190,4054,50,,
231,13507212,Bring Up the Bodies,Hilary Mantel,4.20,91942,4036,48,,
232,2153405,Still Alice,Lisa Genova,4.30,316443,4026,50,,
233,13529,March,Geraldine Brooks,3.74,63412,3964,47,,
234,3257136,Dewey: The Small-Town Library Cat Who Touched the World,Vicki Myron,3.81,63943,3933,44,,
235,237209,In the Woods,Tana French,3.77,352976,3923,46,Dublin Murder Squad,1
236,6304335,Beautiful Creatures,Kami Garcia,3.76,577618,3898,52,Caster Chronicles,1
237,140077,Dead to the World,Charlaine Harris,4.10,260557,3887,48,Sookie Stackhouse,4
238,7747374,I Am Number Four,Pittacus Lore,3.93,332885,3798,47,Lorien Legacies,1
239,1971304,City of Thieves,David Benioff,4.24,134749,3791,44,,
240,398323,Out Stealing Horses,Per Petterson,3.77,34820,3774,43,,
241,13486632,The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,Jonas Jonasson,3.81,241870,3771,47,The Hundred-Year-Old Man,1
242,611298,I Am America,Stephen Colbert,3.87,84468,3683,42,,
243,8490112,Daughter of Smoke &amp; Bone,Laini Taylor,3.98,351354,3600,44,Daughter of Smoke &amp; Bone,1
244,1067,1776,David McCullough,4.05,210374,3597,45,,
245,7141642,The Thousand Autumns of Jacob de Zoet,David Mitchell,3.96,65857,3593,43,,
246,10967,The Fiery Cross,Diana Gabaldon,4.21,193951,3573,42,Outlander,5
247,9520360,The Son of Neptune,Rick Riordan,4.41,475134,3544,47,The Heroes of Olympus,2
248,7235533,The Way of Kings,Brandon Sanderson,4.60,364919,3502,38,The Stormlight Archive,1
249,16243767,Crossing the Seas: A Diary of My Thoughts,Yuehai Xiao,3.48,4901,3482,35,,
250,5960325,Shanghai Girls,Lisa See,3.88,151895,3468,41,Shanghai Girls,1
251,315425,In Defense of Food: An Eater's Manifesto,Michael Pollan,4.05,112862,3414,40,,
252,15745753,Eleanor &amp; Park,Rainbow Rowell,4.00,981846,3391,45,,
253,12127750,The Mark of Athena,Rick Riordan,4.44,497374,3386,45,The Heroes of Olympus,3
254,88442,Austerlitz,W.G. Sebald,3.91,20799,3380,35,,
255,898885,Loving Frank,Nancy Horan,3.75,97837,3374,41,,
256,11250317,The Song of Achilles,Madeline Miller,4.41,532600,3345,37,,
257,28078,The Birth of Venus,Sarah Dunant,3.79,99178,3332,41,,
258,475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.90,70330,3301,37,,
259,11857408,Fifty Shades Darker,E.L. James,3.84,804240,3299,42,Fifty Shades,2
260,10965,A Breath of Snow and Ashes,Diana Gabaldon,4.41,156887,3294,39,Outlander,6
261,526764,Dreams of the Ringed Vale,Robert Fanney,3.54,5714,3278,34,Luthiel's Song,1
262,6482837,Before I Fall,Lauren Oliver,3.89,321129,3267,39,,
263,22822858,A Little Life,Hanya Yanagihara,4.31,295868,3254,37,,
264,104189,"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,4.13,92294,3204,35,,
265,29059,Choke,Chuck Palahniuk,3.70,199959,3191,38,,
266,69136,The Book of Lost Things,John Connolly,3.91,81694,3185,39,,
267,33456,A Dirty Job,Christopher Moore,4.00,119241,3177,33,Grim Reaper,1
268,16068905,Fangirl,Rainbow Rowell,4.00,656551,3133,39,,
269,5196764,The Angel's Game,Carlos Ruiz Zafón,3.93,138312,3094,36,The Cemetery of Forgotten Books,2
270,15790842,Life After Life,Kate Atkinson,3.76,213049,3068,35,Todd Family,1
271,8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.05,370743,2986,37,,
272,20758104,The Knife of Never Letting Go,Patrick Ness,3.96,181824,2928,33,Chaos Walking,1
273,18045891,Sharp Objects,Gillian Flynn,3.99,797468,2926,38,,
274,7090447,The Red Pyramid,Rick Riordan,4.08,359007,2922,40,The Kane Chronicles,1
275,25179,Blankets,Craig Thompson,4.03,106168,2903,32,,
276,42899,Dark Lover,J.R. Ward,4.16,316176,2901,36,Black Dagger Brotherhood,1
277,23316548,The Book of Negroes,Lawrence Hill,4.40,82887,2880,34,,
278,47989,Night Watch,Terry Pratchett,4.44,104643,2809,32,"Discworld, #29; City Watch",6
279,11918,Bitten,Kelley Armstrong,4.00,102023,2770,32,Otherworld,1
280,693208,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.07,247203,2764,34,,
281,17780,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,4.10,99715,2753,28,,
282,29501,"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,3.84,44341,2752,30,,
283,11529868,The Orphan Master's Son,Adam Johnson,4.03,99229,2721,32,,
284,16115612,And the Mountains Echoed,Khaled Hosseini,4.05,332634,2720,34,,
285,815309,On Chesil Beach,Ian McEwan,3.59,87782,2701,35,,
286,11187932,Blood &amp; Spirits,Dennis Sharpe,3.51,5026,2684,27,The Coming Storm,1
287,6400090,The Last Song,Nicholas Sparks,4.15,527629,2677,35,,
288,6751,Consider the Lobster and Other Essays,David Foster Wallace,4.13,48950,2672,32,,
288,2248573,Brisingr,Christopher Paolini,4.05,334980,2672,35,The Inheritance Cycle,3
290,138685,Dissolution,C.J. Sansom,4.01,55086,2659,30,Matthew Shardlake,1
291,43933,Tell No One,Harlan Coben,4.07,139939,2645,31,,
292,26004546,Lips of a Mastodon,Ted Bernal Guevara,3.51,7471,2600,26,,
293,20170404,Station Eleven,Emily St. John Mandel,4.05,370394,2584,31,,
294,10567,Cell,Stephen King,3.66,207064,2581,31,,
295,2845024,Anathem,Neal Stephenson,4.13,70604,2576,27,,
295,32075671,The Hate U Give,Angie Thomas,4.50,648782,2576,31,The Hate U Give,1
297,10507293,The Selection,Kiera Cass,4.11,1127170,2574,33,The Selection,1
298,341879,Just Kids,Patti Smith,4.15,212077,2563,30,,
299,13497818,The Casual Vacancy,J.K. Rowling,3.31,320380,2538,32,,
300,9850443,The Sisters Brothers,Patrick deWitt,3.82,97717,2533,30,,
301,11570,Dreamcatcher,Stephen King,3.64,162005,2515,31,,
302,7673244,Carnal: Somewhere Over 40 Winks,Rom LcO&#39;Feer,3.47,4848,2500,25,,
303,17851885,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.12,488043,2495,32,,
304,23291161,Possession of My Heart,Kia Carrington-Russell,3.48,4885,2494,25,The Three Immortal Blades,2
305,110494,Living Dead in Dallas,Charlaine Harris,3.95,251902,2490,31,Sookie Stackhouse,2
306,41899,Fantastic Beasts and Where to Find Them,Newt Scamander,3.96,372255,2484,36,,
307,11324204,Houdini Heart,Ki Longfellow,3.75,10427,2480,26,,
308,13747,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,3.70,161725,2479,29,,
309,9275658,Legend,Marie Lu,4.16,467061,2468,30,Legend,1
310,13227454,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,3.91,162017,2443,30,Harold Fry,1
311,6001011,Rooftops of Tehran,Mahbod Seraji,3.82,12292,2441,26,,
312,140082,Club Dead,Charlaine Harris,3.99,237083,2436,32,Sookie Stackhouse,3
313,7494,Suzanne's Diary for Nicholas,James Patterson,4.15,146088,2432,28,,
314,1609451,Change of Heart,Jodi Picoult,3.91,111890,2426,29,,
315,71811,Moon Called,Patricia Briggs,4.12,197511,2405,29,Mercy Thompson,1
316,34066798,A Gentleman in Moscow,Amor Towles,4.32,378262,2397,28,,
317,2832909,An Echo in the Bone,Diana Gabaldon,4.40,134020,2383,29,Outlander,7
318,7315573,Fall of Giants,Ken Follett,4.27,298003,2373,27,The Century Trilogy,1
319,8366402,The Tiger's Wife,Téa Obreht,3.42,100697,2369,31,,
320,9742,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.78,160849,2360,29,,
321,1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.22,116631,2351,28,,
321,54775299,The Present,Kenneth   Thomas,4.27,10379,2351,24,VanWest,2
323,18774964,A Man Called Ove,Fredrik Backman,4.35,697073,2344,30,,
324,17212231,Inferno,Dan Brown,3.86,511473,2317,29,Robert Langdon,4
325,60510,Poison Study,Maria V. Snyder,4.07,163791,2298,29,Study,1
