uvrstitev,id,naslov,avtor,povp_ocena,st_ocen,ocena,st_glasov,zbirka,zap_st_knjige_v_zbirki
1314,24351809,Kazungul,Marcus L. Lukusa,4.29,136,300,3,,
1314,25960956,The Kafir Project,Lee Burvine,4.00,312,300,3,,
1314,23848559,Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,3.87,148790,300,5,,
1314,32059592,The Invisible Game: Mindset of a Winning Team,Zoltan Andrejkovics,4.43,201,300,3,,
1314,36593678,The Divinity Bureau,Tessa Clare,4.02,84,300,3,,
1314,55777051,Horn-Horn: A small-town supernatural black-comedy (The Horn-Horn Series Book 1),A.D.T. McLellan,4.54,104,300,3,,
1314,40191332,ساعت‌ها,Behrouz Hosseini,3.74,31,300,3,,
1314,29345928,Di undici foglie,Dino Olivieri,4.00,43,300,3,,
1314,50391716,"The Creation of Me, Them and Us",Heather  Marsh,4.56,18,300,3,,
1335,922991,The Island,Victoria Hislop,4.07,42276,299,4,,
1335,11468048,Cemetery Street,John Zunski,4.13,60,299,3,,
1335,278280,River of Gods,Ian McDonald,3.91,5513,299,4,India 2047,1
1335,19464292,Witch in the Woods,Taylor Ann Bunker,4.01,238,299,3,Witch in the Woods,1
1335,22884757,The Harem,Thomas Sweeney,4.19,47,299,3,,
1335,23516574,Wraith (Nick Baron 0.5),James R. Hannibal,4.02,93,299,3,,
1341,16181,The Constant Princess,Philippa Gregory,3.91,155778,298,5,The Plantagenet and Tudor Novels,6
1341,15851411,Nightwatching,John Zunski,3.64,44,298,3,,
1341,10306358,We the Animals,Justin Torres,3.69,17822,298,3,,
1341,13062645,Poseidon’s Children,Michael  West,3.46,400,298,3,The Legacy of the Gods,1
1341,20445451,Abigail and the Jungle Adventure,Tali Carmi,4.38,116,298,3,,
1341,23118840,Liliana,Neva Squires-Rodriguez,3.85,73,298,3,Liliana,1
1341,17675013,Shadow Catcher,James R. Hannibal,3.89,219,298,3,Nick Baron,1
1341,25159239,The Girl with Ghost Eyes,M.H. Boroson,3.87,3733,298,3,,
1349,11733898,Torment,Lindsay Anne Kendal,3.96,335,297,3,Bloodlines,2
1349,7443012,Mid Ocean,T. Rafael Cimino,3.86,1325,297,3,,
1349,10437680,Lionheart,Sharon Kay Penman,4.11,6356,297,4,Plantagenets #4; Richard the Lionheart,1
1349,11830394,2312,Kim Stanley Robinson,3.53,19599,297,4,,
1349,15742663,Perfect Timing,Catherine Anderson,4.11,2088,297,3,Kendrick/Coulter/Harrigan,11
1349,22885929,Just Around The Bend: Más o Menos,Renée Paule,4.48,63,297,3,,
1349,19125054,Binding Chaos: Mass Collaboration on a Global Scale,Heather  Marsh,4.48,61,297,3,,
1356,69950,Rules for Old Men Waiting,Peter R. Pouncey,3.71,721,296,3,,
